최고기온,최저기온,일교차,강수량,평균습도,평균풍속,일조합,일사합,일조율,평균기온,월,ds
6.8,-1.6,8.4,1.9899999999999998,68.3,1.8,0.0,4.476,7.65,2.1,2.0,1960-02-26
7.1,-2.3,9.4,0.09,43.0,3.1,9.7,15.904,82.44,1.9,2.0,1960-02-27
9.3,-2.4,11.7,3.4599999999999995,69.7,2.9,8.6,14.048000000000002,76.57000000000001,3.8,2.0,1960-02-28
10.8,1.0,9.8,1.44,70.7,1.3,4.4,9.725999999999999,38.74999999999999,5.0,2.0,1960-02-29
14.2,-0.4,14.6,2.31,72.3,1.3,9.2,15.794,71.28,6.2,3.0,1960-03-01
11.7,0.0,11.7,0.97,52.7,2.9,6.4,13.615,56.45,5.6,3.0,1960-03-02
9.1,-3.7,12.8,1.29,54.7,1.6,9.4,12.566,81.17,2.4,3.0,1960-03-03
9.8,0.8,9.0,0.8999999999999998,54.3,1.8,9.1,14.611,77.03,4.8,3.0,1960-03-04
13.7,-0.4,14.1,2.4,74.0,2.7,5.4,12.741,58.970000000000006,6.2,3.0,1960-03-05
11.1,5.2,5.9,2.23,74.3,1.2,0.9,5.853,5.14,8.0,3.0,1960-03-06
17.8,2.8,15.0,3.08,57.7,1.7,9.2,15.513,80.05,10.1,3.0,1960-03-07
16.0,5.6,10.4,0.0,60.7,1.9,1.2,9.833000000000002,15.77,10.9,3.0,1960-03-08
18.1,7.2,10.9,0.1,58.3,2.2,10.1,18.842,75.59,11.8,3.0,1960-03-09
16.8,4.2,12.6,0.72,66.0,2.6,9.1,17.436,77.01,9.4,3.0,1960-03-10
10.8,5.1,5.7,1.6,84.0,1.8,0.0,4.686,6.08,8.3,3.0,1960-03-11
7.8,-4.1,11.9,2.8,54.7,5.8,8.8,15.086000000000002,82.13,1.5,3.0,1960-03-12
3.2,-5.8,9.0,0.04,35.7,3.7,10.1,16.523000000000003,87.11,-2.2,3.0,1960-03-13
6.0,-5.7,11.7,0.5599999999999999,48.0,2.1,8.7,12.843,78.17000000000002,0.1,3.0,1960-03-14
9.6,-1.4,11.0,3.01,65.7,2.6,10.0,14.372,78.95000000000002,3.2,3.0,1960-03-15
13.4,-1.5,14.9,0.74,57.7,1.3,10.1,14.479999999999999,80.41,6.0,3.0,1960-03-16
12.7,2.3,10.4,2.0300000000000002,59.3,2.6,8.8,15.295000000000002,70.3,6.3,3.0,1960-03-17
16.7,0.2,16.5,2.15,61.7,1.1,7.8,16.899,77.91,8.0,3.0,1960-03-18
16.4,4.0,12.4,3.88,56.3,1.3,5.3,13.73,48.059999999999995,10.6,3.0,1960-03-19
11.2,6.8,4.4,56.3,96.0,2.3,0.0,2.944,4.880000000000001,8.7,3.0,1960-03-20
9.4,2.5,6.9,0.8,60.0,4.5,0.0,6.277,6.05,6.5,3.0,1960-03-21
11.7,-0.1,11.8,1.0799999999999998,54.0,2.4,8.1,14.556000000000001,70.28,5.5,3.0,1960-03-22
9.8,2.8,7.0,0.0,79.0,1.7,0.0,5.975999999999999,10.76,5.3,3.0,1960-03-23
13.9,1.1,12.8,2.25,60.7,1.7,9.4,17.244000000000003,80.82,7.8,3.0,1960-03-24
8.1,3.8,4.3,5.8,74.7,2.7,0.0,3.7950000000000004,2.54,5.3,3.0,1960-03-25
8.4,2.3,6.1,5.13,66.3,4.3,1.8,7.0230000000000015,16.759999999999998,5.2,3.0,1960-03-26
9.4,0.1,9.3,1.2100000000000002,63.7,2.1,9.9,15.831999999999999,80.03999999999999,4.6,3.0,1960-03-27
16.3,3.6,12.7,2.21,62.0,5.1,6.8,15.859,60.94,11.0,3.0,1960-03-28
14.4,12.8,1.6,9.4,90.3,0.8,0.0,3.482,0.0,13.7,3.0,1960-03-29
14.5,6.8,7.7,33.6,95.0,1.6,0.0,1.375,0.0,10.1,3.0,1960-03-30
9.4,2.8,6.6,0.8,64.3,4.4,6.8,12.072999999999999,55.46999999999999,5.8,3.0,1960-03-31
7.7,-0.2,7.9,0.58,45.3,4.0,9.8,18.217999999999996,83.28999999999999,2.9,4.0,1960-04-01
10.4,-0.9,11.3,1.0899999999999999,57.3,1.6,9.8,16.915,81.36000000000001,4.4,4.0,1960-04-02
12.9,0.2,12.7,2.2699999999999996,68.3,3.0,10.1,17.901000000000003,81.05999999999999,6.9,4.0,1960-04-03
12.2,3.2,9.0,1.3900000000000001,69.3,2.8,4.2,12.508,39.57,6.9,4.0,1960-04-04
10.6,0.6,10.0,0.9199999999999999,57.7,3.3,9.8,15.805000000000001,79.86000000000001,5.3,4.0,1960-04-05
15.8,3.2,12.6,1.3599999999999999,49.7,4.1,8.3,17.685000000000002,70.98,8.5,4.0,1960-04-06
10.8,-0.4,11.2,0.28,43.3,2.7,10.3,18.461999999999996,84.6,4.8,4.0,1960-04-07
15.0,0.2,14.8,0.9800000000000001,53.3,1.9,10.6,16.163000000000004,79.37,7.3,4.0,1960-04-08
20.4,2.7,17.7,1.3,46.7,1.5,8.0,17.591,72.13,12.2,4.0,1960-04-09
16.9,6.4,10.5,6.1,70.7,3.3,4.8,13.904,49.82000000000001,11.6,4.0,1960-04-10
17.1,3.9,13.2,0.5700000000000001,61.0,1.7,9.2,16.008,72.24000000000001,10.8,4.0,1960-04-11
22.1,9.2,12.9,1.05,48.3,2.1,8.3,18.354,64.26,14.2,4.0,1960-04-12
12.2,9.0,3.2,2.3,83.0,1.8,9.0,13.928999999999998,24.23,10.5,4.0,1960-04-13
14.3,7.0,7.3,9.09,76.3,3.7,1.4,7.213999999999999,10.36,10.0,4.0,1960-04-14
14.6,6.2,8.4,0.1,67.3,3.2,9.6,18.284999999999997,75.42,10.0,4.0,1960-04-15
12.7,4.7,8.0,1.1199999999999999,52.3,6.2,9.0,18.944,74.28999999999999,8.3,4.0,1960-04-16
13.4,2.6,10.8,0.41000000000000003,53.0,3.1,9.8,18.090999999999998,77.61999999999999,7.7,4.0,1960-04-17
15.1,2.2,12.9,1.9,54.7,2.2,10.8,18.335,82.57000000000001,8.7,4.0,1960-04-18
15.7,4.5,11.2,3.0100000000000002,57.3,1.5,3.7,13.193000000000001,40.39,10.6,4.0,1960-04-19
17.1,8.1,9.0,0.8,61.7,4.2,10.6,21.625,79.2,11.6,4.0,1960-04-20
15.8,4.6,11.2,0.1,60.7,3.3,1.8,11.381,24.009999999999998,10.0,4.0,1960-04-21
18.1,9.6,8.5,0.3,57.7,3.2,9.9,21.764999999999997,79.55999999999999,13.0,4.0,1960-04-22
25.3,8.0,17.3,3.29,54.3,1.7,9.9,18.927,74.62,15.9,4.0,1960-04-23
21.7,10.5,11.2,6.1,68.0,2.0,0.8,11.277999999999999,13.9,14.6,4.0,1960-04-24
22.8,12.3,10.5,1.9,76.7,2.6,10.2,20.1,70.50000000000001,16.3,4.0,1960-04-25
23.5,12.3,11.2,1.0699999999999998,61.7,3.2,8.0,19.693,59.2,17.0,4.0,1960-04-26
20.0,11.2,8.8,9.959999999999999,57.3,3.5,0.0,7.700999999999999,3.0700000000000003,14.4,4.0,1960-04-27
22.1,7.3,14.8,2.3,49.3,1.9,10.8,19.884,80.11000000000001,13.7,4.0,1960-04-28
21.0,8.5,12.5,1.47,53.3,2.2,10.8,19.947,79.64,13.5,4.0,1960-04-29
24.0,6.8,17.2,1.85,56.7,1.9,11.1,19.171,78.28,15.5,4.0,1960-04-30
19.6,9.9,9.7,0.1,55.7,3.9,8.8,21.342999999999996,68.31,14.1,5.0,1960-05-01
26.0,6.4,19.6,1.8,45.0,1.6,10.8,19.806000000000004,79.72,17.1,5.0,1960-05-02
24.9,18.2,6.7,15.5,69.0,4.0,1.1,12.364,11.84,22.1,5.0,1960-05-03
23.4,12.6,10.8,0.8,78.3,2.8,1.4,11.782,19.090000000000003,18.4,5.0,1960-05-04
20.6,10.1,10.5,0.76,31.7,3.5,10.4,20.896,73.38000000000001,14.6,5.0,1960-05-05
21.0,8.9,12.1,1.24,36.3,2.1,3.3,15.87,37.28,14.3,5.0,1960-05-06
21.0,11.0,10.0,0.58,37.7,3.9,8.2,18.397999999999996,64.22,15.1,5.0,1960-05-07
21.9,9.1,12.8,0.72,44.3,2.1,8.4,18.708000000000002,68.66999999999999,15.0,5.0,1960-05-08
16.2,11.0,5.2,7.469999999999999,67.7,2.4,9.9,19.580000000000005,61.470000000000006,12.7,5.0,1960-05-09
22.0,9.5,12.5,0.6599999999999999,62.7,2.1,9.9,20.234,77.76000000000002,14.4,5.0,1960-05-10
22.3,9.3,13.0,0.0,61.0,3.0,9.8,21.330000000000002,74.96,15.1,5.0,1960-05-11
20.5,13.1,7.4,2.17,65.7,4.6,6.5,16.494999999999997,44.980000000000004,16.8,5.0,1960-05-12
16.8,12.3,4.5,41.3,85.7,4.1,0.0,5.139,2.56,15.3,5.0,1960-05-13
20.8,12.0,8.8,16.4,73.7,4.3,3.5,15.172000000000002,29.15,15.9,5.0,1960-05-14
16.4,12.6,3.8,0.1,85.0,2.1,0.0,5.245,1.54,14.0,5.0,1960-05-15
20.2,11.3,8.9,0.0,76.7,2.9,9.8,18.448,63.06,14.6,5.0,1960-05-16
19.7,10.8,8.9,20.6,79.3,2.3,0.0,8.982,10.989999999999998,15.4,5.0,1960-05-17
19.6,13.7,5.9,21.3,78.3,3.0,3.1,11.176,16.91,16.2,5.0,1960-05-18
22.4,11.3,11.1,0.51,51.3,2.0,10.6,21.429,74.68,16.3,5.0,1960-05-19
20.7,10.8,9.9,0.7699999999999999,61.7,2.9,11.9,21.650000000000002,79.46000000000001,14.8,5.0,1960-05-20
21.4,10.8,10.6,1.6300000000000001,62.7,3.7,11.5,21.961999999999996,80.85,15.4,5.0,1960-05-21
21.7,11.2,10.5,1.9300000000000002,56.0,3.4,11.5,22.509,80.22000000000001,16.3,5.0,1960-05-22
24.6,11.6,13.0,2.08,62.0,2.0,11.2,21.536,80.47,17.8,5.0,1960-05-23
28.5,14.0,14.5,4.7,65.3,1.1,8.1,20.118,67.32,20.6,5.0,1960-05-24
30.2,15.8,14.4,3.21,58.0,1.5,10.9,23.749000000000002,76.29,22.9,5.0,1960-05-25
25.6,15.0,10.6,8.1,75.0,1.7,3.1,15.203000000000003,27.6,20.1,5.0,1960-05-26
22.2,15.2,7.0,0.0,76.3,2.3,7.3,16.720000000000002,47.459999999999994,18.2,5.0,1960-05-27
18.6,14.5,4.1,10.9,85.0,1.0,0.0,4.994,1.3199999999999998,16.0,5.0,1960-05-28
23.4,13.1,10.3,0.3,67.7,2.7,4.2,15.074000000000002,24.839999999999996,17.9,5.0,1960-05-29
22.3,12.8,9.5,3.0,68.0,2.6,8.5,19.479000000000003,56.79,16.6,5.0,1960-05-30
24.3,11.8,12.5,0.79,54.3,1.9,7.9,20.535999999999998,61.5,18.6,5.0,1960-05-31
24.4,15.2,9.2,0.13999999999999999,66.0,1.7,6.9,20.297,48.690000000000005,18.5,6.0,1960-06-01
23.3,15.0,8.3,0.0,72.0,1.7,4.3,13.660999999999998,27.410000000000004,18.0,6.0,1960-06-02
17.8,13.6,4.2,20.3,84.3,2.7,0.0,3.5810000000000004,0.08,16.6,6.0,1960-06-03
22.4,12.7,9.7,0.7,69.0,3.5,10.5,22.778,75.68,17.6,6.0,1960-06-04
23.7,15.1,8.6,0.45,68.7,3.3,9.7,22.19,69.07000000000001,18.2,6.0,1960-06-05
26.8,13.7,13.1,1.7799999999999998,64.0,1.3,9.5,20.809000000000005,73.89000000000001,20.4,6.0,1960-06-06
25.2,17.4,7.8,0.0,70.3,1.0,0.0,9.611999999999998,2.61,21.2,6.0,1960-06-07
29.9,17.8,12.1,1.38,52.7,1.8,12.3,24.325,81.7,23.3,6.0,1960-06-08
27.6,16.6,11.0,5.3100000000000005,64.7,2.0,7.5,17.725,51.7,21.9,6.0,1960-06-09
24.8,17.9,6.9,8.7,75.0,2.3,0.0,9.172999999999998,7.530000000000001,20.4,6.0,1960-06-10
26.6,15.2,11.4,1.28,49.3,3.6,9.9,22.517999999999997,72.44999999999999,20.4,6.0,1960-06-11
19.5,15.6,3.9,3.4,70.7,1.2,0.0,6.003,1.37,17.0,6.0,1960-06-12
19.5,14.6,4.9,34.5,89.7,1.6,0.0,2.781,0.58,16.9,6.0,1960-06-13
27.8,16.3,11.5,0.4,79.0,1.4,6.3,16.447000000000003,42.83,21.3,6.0,1960-06-14
28.5,18.8,9.7,2.54,57.7,2.1,10.6,21.389999999999997,68.39999999999999,22.7,6.0,1960-06-15
27.0,15.8,11.2,2.79,65.7,2.4,11.3,23.134999999999998,79.51,20.5,6.0,1960-06-16
21.3,15.3,6.0,0.0,87.0,2.3,0.0,6.947,3.5099999999999993,18.2,6.0,1960-06-17
22.6,17.4,5.2,0.0,85.0,0.8,0.0,5.731,2.3099999999999996,19.1,6.0,1960-06-18
26.8,16.9,9.9,2.65,74.3,1.8,11.1,20.991,70.63,21.4,6.0,1960-06-19
26.4,16.7,9.7,6.22,79.0,1.0,1.6,11.726000000000003,14.460000000000003,21.5,6.0,1960-06-20
31.4,19.9,11.5,0.12000000000000002,65.3,1.4,5.9,18.127999999999997,48.34,25.2,6.0,1960-06-21
26.2,18.6,7.6,1.0,74.3,3.7,8.2,18.067,56.92999999999999,21.0,6.0,1960-06-22
27.8,16.0,11.8,1.5699999999999998,64.3,1.9,12.1,23.512,80.7,21.2,6.0,1960-06-23
31.7,16.6,15.1,3.4300000000000006,59.3,1.8,11.1,22.804,74.45,23.2,6.0,1960-06-24
31.2,17.8,13.4,4.24,61.0,0.8,7.4,18.546,54.65000000000001,24.6,6.0,1960-06-25
25.2,18.8,6.4,47.9,89.0,4.8,0.0,4.8100000000000005,2.04,20.0,6.0,1960-06-26
24.4,18.0,6.4,34.8,89.7,1.5,0.0,4.099,1.7,21.8,6.0,1960-06-27
24.0,19.6,4.4,135.3,98.3,5.9,0.0,1.625,0.62,21.7,6.0,1960-06-28
22.6,19.4,3.2,5.9,98.3,2.6,0.0,5.248,0.44000000000000006,20.7,6.0,1960-06-29
26.2,20.0,6.2,4.0,90.7,1.5,1.0,6.8050000000000015,6.76,23.0,6.0,1960-06-30
24.2,19.5,4.7,56.8,97.7,1.1,0.0,2.7299999999999995,0.20999999999999996,21.7,7.0,1960-07-01
29.8,20.7,9.1,13.34,86.3,1.4,6.2,15.228,41.67,24.8,7.0,1960-07-02
24.4,20.7,3.7,41.9,98.0,3.3,0.0,2.5029999999999997,0.27999999999999997,22.3,7.0,1960-07-03
26.4,20.4,6.0,0.6,93.7,1.9,4.0,8.520999999999999,9.309999999999999,22.4,7.0,1960-07-04
30.6,20.4,10.2,14.84,86.0,1.3,6.4,16.389,44.51,24.4,7.0,1960-07-05
30.4,21.4,9.0,16.0,83.7,1.6,4.9,14.521,36.98,25.7,7.0,1960-07-06
22.3,18.9,3.4,88.9,97.3,3.7,0.0,2.1750000000000003,1.97,20.1,7.0,1960-07-07
22.3,18.6,3.7,0.8,83.7,2.8,0.0,5.524,0.53,20.6,7.0,1960-07-08
27.0,18.8,8.2,7.65,77.3,1.8,8.8,17.442,65.31,22.7,7.0,1960-07-09
30.2,19.5,10.7,3.44,78.3,1.3,7.6,19.668,53.660000000000004,25.0,7.0,1960-07-10
30.0,21.1,8.9,0.0,84.7,1.8,4.6,12.17,35.63,24.2,7.0,1960-07-11
29.1,22.8,6.3,0.2,85.3,2.3,1.1,8.498999999999999,6.390000000000001,25.2,7.0,1960-07-12
29.0,22.8,6.2,3.6699999999999995,84.3,3.1,2.6,11.556000000000001,17.04,25.3,7.0,1960-07-13
24.4,22.1,2.3,7.1,92.7,1.5,0.0,3.314,0.0,23.6,7.0,1960-07-14
29.2,22.6,6.6,9.4,85.0,1.3,4.4,12.693000000000001,31.479999999999997,25.5,7.0,1960-07-15
31.9,22.9,9.0,9.430000000000001,77.7,1.6,7.7,16.074,53.05,26.9,7.0,1960-07-16
31.5,23.4,8.1,2.28,78.0,1.9,9.9,20.037,69.15,26.9,7.0,1960-07-17
31.4,23.7,7.7,6.34,76.3,1.9,8.1,19.556,58.92999999999999,26.9,7.0,1960-07-18
31.4,23.7,7.7,1.8,80.0,2.0,9.1,16.903,61.31,26.3,7.0,1960-07-19
31.2,23.5,7.7,3.2299999999999995,73.7,2.2,5.2,16.184,38.85,26.1,7.0,1960-07-20
31.5,21.9,9.6,5.970000000000001,75.7,1.9,10.5,18.586,71.98000000000002,25.8,7.0,1960-07-21
32.4,21.4,11.0,4.480000000000001,75.3,1.6,8.3,17.134,60.720000000000006,26.0,7.0,1960-07-22
31.6,22.8,8.8,7.1,76.7,1.5,4.6,13.789000000000001,32.99,26.5,7.0,1960-07-23
28.0,23.3,4.7,1.3,83.7,1.6,0.0,7.404999999999999,1.92,24.7,7.0,1960-07-24
24.8,21.5,3.3,52.7,91.0,1.0,0.0,3.3449999999999998,0.77,23.3,7.0,1960-07-25
27.0,19.9,7.1,32.8,86.0,1.9,0.0,6.592999999999999,10.830000000000002,23.8,7.0,1960-07-26
30.5,22.6,7.9,1.4,71.3,2.9,3.1,15.161000000000001,23.8,26.2,7.0,1960-07-27
28.6,23.4,5.2,0.0,69.3,5.0,0.0,10.439,5.640000000000001,26.1,7.0,1960-07-28
32.3,25.8,6.5,2.4,79.7,2.7,9.1,16.666000000000004,61.7,27.9,7.0,1960-07-29
30.6,24.9,5.7,10.3,87.0,2.2,9.6,15.251,50.29,26.7,7.0,1960-07-30
30.5,24.3,6.2,6.540000000000001,84.3,2.4,7.2,13.453999999999999,43.76,26.3,7.0,1960-07-31
29.8,24.2,5.6,0.0,82.7,2.8,7.3,13.887000000000004,46.099999999999994,26.4,8.0,1960-08-01
29.8,24.7,5.1,1.3,85.3,2.9,4.4,12.684999999999999,32.25,26.7,8.0,1960-08-02
34.3,24.6,9.7,2.7,78.7,0.9,5.9,12.931999999999999,46.11,28.3,8.0,1960-08-03
34.3,24.6,9.7,12.4,81.0,1.7,9.9,17.505999999999997,67.98,27.5,8.0,1960-08-04
34.4,24.5,9.9,2.1,76.3,1.4,7.0,16.258000000000003,53.910000000000004,28.5,8.0,1960-08-05
34.1,25.7,8.4,0.4,75.7,1.6,7.7,14.7,53.32000000000001,28.5,8.0,1960-08-06
33.6,24.7,8.9,2.8,72.3,0.9,6.2,14.312999999999999,42.63,28.5,8.0,1960-08-07
34.1,24.8,9.3,5.5600000000000005,72.0,1.5,10.8,19.828,75.91,28.6,8.0,1960-08-08
33.7,24.0,9.7,4.87,70.7,1.4,10.1,20.045999999999996,71.8,27.8,8.0,1960-08-09
33.8,24.2,9.6,1.3699999999999999,69.0,1.4,2.7,13.396,26.420000000000005,28.5,8.0,1960-08-10
32.9,24.3,8.6,0.0,66.0,2.3,6.0,15.974,43.440000000000005,27.6,8.0,1960-08-11
32.2,23.0,9.2,5.290000000000001,67.3,1.9,6.5,16.278000000000002,49.120000000000005,26.9,8.0,1960-08-12
30.6,23.2,7.4,0.74,64.7,3.1,1.1,13.009,13.27,26.1,8.0,1960-08-13
32.0,21.4,10.6,5.18,58.7,2.4,6.7,18.509999999999998,56.239999999999995,26.4,8.0,1960-08-14
30.6,20.8,9.8,1.61,63.0,1.9,4.3,16.246000000000002,34.43,25.8,8.0,1960-08-15
28.7,22.8,5.9,1.6,78.0,1.2,0.8,9.945,6.75,26.0,8.0,1960-08-16
33.9,23.5,10.4,4.62,72.7,0.8,8.6,17.854999999999997,62.260000000000005,27.5,8.0,1960-08-17
31.1,22.7,8.4,31.0,77.0,1.6,1.8,12.338,18.11,26.7,8.0,1960-08-18
33.3,22.7,10.6,5.12,68.3,1.9,8.9,19.565,67.6,27.6,8.0,1960-08-19
34.1,24.4,9.7,0.58,59.7,2.5,10.1,20.688,74.19,28.3,8.0,1960-08-20
33.5,23.1,10.4,0.22999999999999998,60.7,3.1,10.8,21.282,78.96000000000001,27.6,8.0,1960-08-21
32.4,24.1,8.3,11.8,71.7,2.9,0.3,11.66,11.950000000000001,27.6,8.0,1960-08-22
27.1,20.9,6.2,14.5,79.0,5.2,0.0,12.014,8.83,24.7,8.0,1960-08-23
29.6,20.6,9.0,1.61,75.7,1.9,8.2,17.694,59.52,24.4,8.0,1960-08-24
29.2,19.9,9.3,3.6399999999999997,76.7,1.3,4.1,13.523,31.96,24.0,8.0,1960-08-25
31.0,19.9,11.1,3.5,68.3,1.4,10.8,18.354,73.45,24.6,8.0,1960-08-26
30.4,20.4,10.0,0.0,69.0,0.8,3.3,13.474,27.4,25.3,8.0,1960-08-27
25.0,18.0,7.0,40.7,80.3,3.1,0.0,8.687,7.239999999999999,20.2,8.0,1960-08-28
21.7,18.6,3.1,19.6,87.3,2.3,0.0,3.4349999999999996,0.49000000000000005,20.1,8.0,1960-08-29
26.6,17.7,8.9,0.0,83.3,1.7,5.8,13.01,39.230000000000004,22.0,8.0,1960-08-30
29.4,20.6,8.8,1.3099999999999998,80.0,1.4,8.7,16.085,61.89,24.2,8.0,1960-08-31
31.3,19.4,11.9,4.36,78.7,1.0,6.8,17.806,56.080000000000005,24.9,9.0,1960-09-01
31.1,22.0,9.1,6.379999999999999,76.3,1.4,8.4,17.854,63.86,25.2,9.0,1960-09-02
25.7,21.1,4.6,5.7,90.0,1.6,0.0,4.5840000000000005,0.0,22.8,9.0,1960-09-03
